Area,Aspect Ratio,Slope
17.099,17.996363636363636,90.0
4.75,1.5534718702483528,161.565
5.7,1.5932521087160263,135.0
4.75,1.5534718702483528,71.565
12.349,1.1591094216671192,135.0
5.7,1.2910164487557994,45.0
6.65,1.0689410092395168,0.0
7.6,1.1954305799648506,0.0
1.9,2.0,90.0
2.85,1.4644218551461246,135.0
6.65,1.917658257972394,152.769
1.9,2.0,90.0
11.399000000000001,1.2360665304931429,66.57600000000001
1.9,2.0,90.0
8.55,2.385767790262172,85.26899999999999
35.148,1.2632728494623655,128.496
18.049,1.62982689747004,151.05
7.6,1.4158377964804898,7.018
18.049,1.2733050847457625,12.821
19.949,1.1818377911993097,36.135999999999996
7.6,1.1954305799648506,0.0
11.399000000000001,1.3334343740527432,0.0
23.749000000000002,1.1468354430379746,10.87
16.149,1.497031840259039,24.901999999999997
14.249,1.1276489653453003,75.964
36.098,1.4729681346222698,170.7
41.798,1.9226382816954952,2.978
19.949,1.1818377911993097,128.953
42.748000000000005,1.6947238397741307,171.558
12.349,1.1591094216671192,45.0
57.946999999999996,1.698937784522003,109.16799999999999
12.349,1.5508793969849246,0.0
13.299000000000001,1.6008610086100863,113.125
20.899,1.2607749238136703,164.09
16.149,1.0393435251798562,134.998
12.349,1.8019634394041977,25.066
3.8,1.0,0.0
7.6,1.2287954383464006,45.0
4.75,1.5534718702483528,161.565
11.399000000000001,1.1350671140939597,109.805
32.298,1.2510029652886798,11.120999999999999
24.699,1.4965095986038397,20.227
46.547,1.3941717791411044,7.7860000000000005
9.499,1.5515759312320918,63.435
32.298,1.5189313857389968,30.531999999999996
12.349,1.1591094216671192,135.0
9.499,1.0279883381924197,26.565
7.6,1.2287954383464006,45.0
29.448,1.2513701132626962,28.141
49.397,1.4166291460303169,175.645
41.798,1.5259058584490348,174.865
16.149,1.2629491945477076,74.828
24.699,1.1835111542192045,0.0
15.199000000000002,1.5040423752439365,160.308
9.499,1.3839648173207035,180.0
16.149,1.2629491945477076,105.17200000000001
29.448,1.1845005332385352,158.424
10.449000000000002,1.1386775892334697,71.565
18.049,1.249766791044776,14.463
8.55,1.0,0.0
37.048,1.7835893447404239,0.0
1.9,2.0,0.0
32.298,1.8342133051742344,160.534
7.6,1.6052953156822811,19.33
33.248000000000005,1.2168531705662937,171.042
12.349,1.3698347107438016,135.0
4.75,1.0,0.0
14.249,1.1366708385481854,135.0
1.9,2.0,90.0
9.499,2.6384866884633347,143.67700000000002
22.799,1.2219942552318426,70.395
6.65,1.2664346481051816,17.769000000000002
40.848,1.3401284109149276,175.865
6.65,1.0689410092395168,0.0
10.449000000000002,1.1386775892334697,161.565
16.149,1.3359673719092533,172.868
7.6,1.2287954383464006,135.0
2.85,1.4644218551461246,135.0
4.75,1.5534718702483528,71.565
11.399000000000001,1.3334343740527432,0.0
20.899,1.0833333333333333,157.643
19.949,1.4746987951807229,7.202000000000001
1.9,2.0,90.0
1.9,2.0,90.0
18.999000000000002,1.02699361219864,90.0
30.398000000000003,1.4684456564082589,0.0
3.8,1.0,0.0
1.9,2.0,90.0
7.6,1.2287954383464006,45.0
4.75,1.5534718702483528,71.565
8.55,1.3403508771929824,20.301
91.195,2.13828199212919,3.515
15.199000000000002,1.1506949524506216,165.128
15.199000000000002,1.3917940466613035,18.435
3.8,1.0,0.0
10.449000000000002,1.3721901091843287,15.071
11.399000000000001,1.2181344148319815,55.278
24.699,1.1140598531902879,105.051
7.6,1.2287954383464006,45.0
5.7,1.4995454545454543,0.0
46.547,2.4238624873609704,175.938
3.8,1.0,0.0
11.399000000000001,1.0,0.0
7.6,1.2287954383464006,45.0
15.199000000000002,1.2089477630592351,0.0
17.099,1.2173090565145424,90.0
54.147,1.2909140667761356,20.656999999999996
13.299000000000001,1.661967418546366,7.1610000000000005
16.149,1.3359673719092533,7.132000000000001
12.349,1.735215946843854,165.128
21.849,1.2412336290663288,60.571999999999996
3.8,2.0317563188593644,121.71700000000001
7.6,1.1954305799648506,0.0
34.198,1.678774788925977,127.34700000000001
13.299000000000001,1.0198773006134971,90.0
