Area,Aspect Ratio,Slope
8.55,1.185087429891125,7.627999999999999
8.55,1.0,0.0
30.399,1.1217228464419475,108.574
17.099,1.1296127562642369,154.594
21.849,1.3108313436075536,113.09100000000001
2.85,1.4644218551461246,135.0
5.7,1.4995454545454543,0.0
74.097,1.1468577728776186,112.219
110.195,1.1450898906856988,52.12
6.65,1.0689410092395168,0.0
113.995,1.8797086605212243,163.458
2.85,2.7014667817083695,151.845
16.149,1.2167355874483092,63.038000000000004
33.249,1.1295328324077099,103.64399999999999
58.898,1.0916988416988416,115.414
11.4,1.3334343740527432,0.0
12.349,1.148068089705485,76.22399999999999
9.5,1.5515759312320918,63.435
8.55,1.5360631104432756,96.04700000000001
3.8,1.0,0.0
20.899,1.955543507725671,41.67100000000001
11.4,1.651264755480607,135.0
34.199,1.266200545702592,119.014
68.39699999999999,1.2599230214096704,38.349000000000004
146.29399999999998,1.0503116317488923,18.667
158.643,1.1508152173913042,84.057
9.5,1.3272606823451474,90.0
86.446,1.277879538842797,63.623000000000005
70.297,1.3137872546644054,71.893
31.349,1.135796221322537,96.06299999999999
9.5,1.2355385107062962,90.0
17.099,1.1296127562642369,115.406
18.999000000000002,1.2814729574223245,47.08
14.249,1.2949505744055567,80.538
32.299,1.2823591735829067,121.92399999999999
78.847,1.3343324878948584,37.198
21.849,1.4734177215189874,56.693999999999996
25.649,1.2104351174432038,77.508
3.8,1.0,0.0
11.4,1.5400651465798045,110.61200000000001
6.65,1.0689410092395168,90.0
24.699,1.0437238112588814,10.305
93.096,1.1352515169309063,68.67399999999999
13.299000000000001,1.0198773006134971,90.0
1.9,2.0,0.0
3.8,1.0,0.0
1.9,2.0,0.0
18.049,1.3912401574803148,40.073
67.447,1.0247979025562597,160.287
7.6,1.2287954383464006,45.0
2.85,1.4644218551461246,45.0
14.249,1.1366708385481854,135.0
42.748000000000005,1.9444339444339442,7.624
1.9,2.0,90.0
87.396,1.2950377562028048,86.01700000000001
39.898,1.1364044271612324,48.831
26.599,1.1478276877761413,82.012
31.349,1.1266801075268815,79.206
27.549,1.38953025477707,90.0
4.75,1.5534718702483528,108.435
2.85,4.123667377398721,135.0
17.099,1.1371115173674589,120.911
9.5,1.2376839411388354,90.0
25.649,1.0915904936014627,98.001
3.8,1.467511013215859,90.0
8.55,1.3403508771929824,110.301
41.798,1.3907209828645328,45.042
